Week,Function,Dimensions,Observation count,Previous best,New observation,New best,Improvement,Fitted GP kernel,Predictive std at selected query,UCB score,Evidence status,Evidence note
1,F1,2,11,7.710875114502849e-16,-1.560646704467778e-117,7.710875114502849e-16,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
1,F2,2,11,0.6112052157614438,-0.03182956281754251,0.6112052157614438,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
1,F3,3,16,-0.034835313350078584,-0.04090761844901528,-0.034835313350078584,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
1,F4,4,31,-4.025542281908162,-8.727516493155957,-4.025542281908162,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
1,F5,4,21,1088.8596181962705,1088.8535114737463,1088.8596181962705,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
1,F6,5,21,-0.7142649478202404,-1.1520351120911565,-0.7142649478202404,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
1,F7,6,31,1.3649683044991994,1.0510148516295004,1.3649683044991994,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
1,F8,8,41,9.598482002566342,9.8157087929671,9.8157087929671,0.21722679040075832,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
2,F1,2,12,7.710875114502849e-16,1.674933466363685e-36,7.710875114502849e-16,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
2,F2,2,12,0.6112052157614438,0.022666631114895516,0.6112052157614438,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
2,F3,3,17,-0.034835313350078584,-0.08987474979637637,-0.034835313350078584,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
2,F4,4,32,-4.025542281908162,-31.73535839431216,-4.025542281908162,0.0,Not recorded,,,Confirmed return,Exact query/return pair recorded in Results/query_output_ledger.csv.
